Items,Uses_SafeSearchEng
PastInfo_SecAgencySites,0.35
PastInfo_SecNewSites,0.35
PastInfo_SoftwareSites,0.27
PastInfo_SecSoftwareSites,0.26
FutureInfo_SecAgencySites,0.09
FutureInfo_SecNewSites,0.08
FutureInfo_SoftwareSites,0.04
FutureInfo_SecSoftwareSites,0.05
