Items,PastInfo_School,PastInfo_Fam,PastInfo_Press,PastInfo_Publication,PastInfo_TV,PastInfo_Radio,PastInfo_SecAgencySites,PastInfo_SecNewSites,PastInfo_SoftwareSites,PastInfo_SecSoftwareSites,PastInfo_Blog,PastInfo_MicroBlog,PastInfo_Multimedia,PastInfo_SocialMedia,PastInfo_Messenger,PastInfo_Newsletter,PastInfo_Podcast,PastInfo_WarningApps,PastInfo_InstalledSoftware
FutureInfo_School,0.26,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,-0.1
FutureInfo_Fam,0.0,0.22,-0.07,0.0,0.0,-0.08,0.0,0.0,-0.07,-0.09,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,-0.09
FutureInfo_Press,0.0,0.0,0.16,0.0,0.13,0.09,-0.11,-0.13,-0.11,-0.11,-0.07,-0.07,-0.06,0.0,-0.08,0.0,-0.07,-0.07,-0.1
FutureInfo_Publication,0.0,0.0,0.09,0.21,0.0,0.0,0.0,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
FutureInfo_TV,-0.09,0.0,0.08,-0.12,0.35,0.19,0.0,-0.13,-0.08,0.0,-0.12,-0.09,-0.11,0.0,0.0,-0.07,-0.09,-0.08,0.0
FutureInfo_Radio,0.0,0.0,0.08,0.0,0.16,0.28,0.0,-0.12,-0.12,-0.08,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_SecAgencySites,0.0,0.0,0.0,0.09,0.0,0.0,0.29,0.2,0.12,0.13,0.07,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.09
FutureInfo_SecNewSites,0.0,0.0,0.0,0.16,-0.12,-0.12,0.16,0.39,0.14,0.11,0.09,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.08
FutureInfo_SoftwareSites,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.28,0.15,0.07,0.0,0.09,0.0,0.07,0.08,0.07,0.06,0.07
FutureInfo_SecSoftwareSites,-0.06,-0.07,0.0,0.0,0.0,-0.09,0.0,0.08,0.12,0.31,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.21
FutureInfo_Blog,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_MicroBlog,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.11,0.2,0.1,0.0,0.0,0.07,0.08,0.0,0.0
FutureInfo_Multimedia,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.16,0.17,0.32,0.2,0.1,0.0,0.1,0.0,-0.12
FutureInfo_SocialMedia,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,-0.06,0.0,0.1,0.15,0.31,0.14,0.0,0.09,0.0,-0.09
FutureInfo_Messenger,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.25,0.0,0.0,0.0,0.0
FutureInfo_Newsletter,-0.07,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.17,0.0,0.0,0.0
FutureInfo_Podcast,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.07,0.0,0.0,0.0,0.15,0.0,0.0
FutureInfo_WarningApps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,-0.07,0.0,0.0,0.0,0.0,0.0,0.18,0.0
FutureInfo_InstalledSoftware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-0.07,-0.09,-0.09,-0.08,-0.06,0.0,-0.08,0.0,0.29
