Items,CyberThreat_Danger,CyberThreat_FirewallSecurity,CyberThreat_KnownWebsites,CyberThreat_Risk4Individual,CyberThreat_OnInfrastructure,CyberThreat_GERPreparedness,CyberThreat_SelfDefense,CyberThreat_Uninformed,CyberThreat_Ignorance,CyberThreat_Education,CyberThreat_Helpless,CyberThreat_InformationSource,CyberThreat_CyberWar,CyberThreat_FearCyberWar,CyberThreat_GERCounterAttack,CyberThreat_LEACompetence,CyberThreat_LEAInsecurity,CyberThreat_CyberCrimeJustice
Privacy_IsControlAutonomy,0.14,0.33,0.18,0.17,0.22,-0.21,0.0,0.0,0.0,0.07,-0.08,0.0,0.16,0.0,0,-0.14,0.0,-0.16
Privacy_PersDataControl,0.17,0.31,0.15,0.23,0.24,-0.23,0.0,0.0,0.0,0.11,-0.08,0.0,0.16,0.0,0,-0.17,0.0,-0.19
Privacy_CompanyTransparency,0.13,0.31,0.15,0.2,0.22,-0.22,0.0,0.0,0.0,0.09,0.0,0.0,0.14,0.0,0,-0.17,0.0,-0.17
Privacy_StatementIncludesDisclosure,0.15,0.32,0.18,0.19,0.22,-0.2,0.0,0.0,0.0,0.12,0.0,0.0,0.15,0.0,0,-0.15,0.0,-0.13
Privacy_PersDataQuestionsBother,0.18,0.22,0.09,0.21,0.19,-0.19,-0.12,0.13,0.1,0.09,0.06,-0.08,0.18,0.1,0,-0.16,0.0,-0.15
Privacy_ThinkTwice,0.13,0.28,0.16,0.2,0.2,-0.16,-0.08,0.08,0.0,0.11,0.0,0.0,0.12,0.08,0,-0.1,0.0,-0.13
Privacy_GivePersDataBother,0.18,0.24,0.08,0.22,0.22,-0.22,-0.11,0.15,0.12,0.09,0.07,-0.09,0.17,0.11,0,-0.17,0.08,-0.17
Privacy_WorriedAbDataColl,0.22,0.27,0.1,0.23,0.22,-0.18,-0.15,0.15,0.13,0.12,0.08,-0.07,0.17,0.19,0,-0.15,0.1,-0.14
