,Value,Column,Row,Value 1,Value 2
1178,-0.13,PastInfo_Publication,FutureVictim_SocEng,0.16,0.03
791,-0.13,PastHelp_PublicMed,FutureVictim_CyBully,0.24,0.11
1083,-0.13,Uses_Camcover,Usage_SmartWatch,0.08,-0.05
258,-0.13,Knows_Heise,Knows_CODE,0.47,0.34
185,-0.13,Knows_Zitis,Knows_CERTv,0.6,0.47
339,-0.13,PastVictim_PerfTheft,Knows_BSI,0.26,0.13
162,-0.13,Knows_CAZ,Knows_BSI,0.5,0.37
93,-0.13,Usage_SmartHeater,PastVictim_IDTheft,0.3,0.17
1331,-0.13,Sum_Victim,PastHelp_Colleague,0.23,0.1
85,-0.13,Usage_SmartHeater,Knows_Athene,0.31,0.18
83,-0.13,Usage_SmartHeater,Knows_CERTl,0.3,0.17
1256,-0.13,RelInfo_CurrentSpamCampaigns,PastHelp_CERTl,0.09,-0.04
175,-0.13,Knows_Zitis,Knows_BSI,0.51,0.38
177,-0.13,Knows_Zitis,Knows_CERTl,0.63,0.5
178,-0.13,Knows_Zitis,Knows_Europol,0.42,0.29
453,-0.13,PastVictim_CyStalk,PastVictim_APT,0.6,0.47
186,-0.13,Knows_Zitis,FutureVictim_Virus,0.04,-0.09
55,-0.13,Usage_Console,Knows_Heise,0.24,0.11
1361,-0.13,Sum_SecurityLevel,PastVictim_CyBully,0.12,-0.01
1362,-0.13,Sum_SecurityLevel,PastVictim_IDTheft,0.12,-0.01
471,-0.13,PastVictim_IDTheft,PastHelp_IntExperts,0.23,0.1
1325,-0.13,Sum_Victim,Degree,0.18,0.05
1367,-0.13,Sum_SecurityLevel,PastVictim_SocMedHack,0.16,0.03
1369,-0.13,Sum_SecurityLevel,PastHelp_IntExperts,0.25,0.12
1248,-0.13,FutureInfo_Radio,CyberThreat_OnInfrastructure,0.03,-0.1
1247,-0.13,FutureInfo_Radio,CyberThreat_FirewallSecurity,0.05,-0.08
60,-0.13,Usage_Console,PastVictim_APT,0.32,0.19
477,-0.13,PastVictim_Ransomware,PastVictim_PerfTheft,0.39,0.26
302,-0.13,Knows_CSECDay,FutureVictim_Doxing,0.16,0.03
479,-0.13,PastVictim_Ransomware,PastHelp_BSI,0.11,-0.02
99,-0.13,Usage_SmartHeater,PastInfo_Podcast,0.3,0.17
154,-0.13,Knows_Europol,Knows_Athene,0.35,0.22
152,-0.13,Knows_Europol,Knows_CERTl,0.41,0.28
1265,-0.13,RelInfo_NewMalware,FutureVictim_SocMedHack,0.18,0.05
1343,-0.13,Sum_Fear,PastHelp_BSI,0.24,0.11
1340,-0.13,Sum_Fear,Knows_CSECDay,0.23,0.1
401,-0.13,PastVictim_APT,PastInfo_SecNewSites,0.34,0.21
407,-0.13,PastVictim_Sidechannel,CyberThreat_KnownWebsites,0.07,-0.06
408,-0.13,PastVictim_Sidechannel,CyberThreat_InformationSource,0.18,0.05
